,acc1,acc5,mean_per_class_recall,dataset,model,pretrained,task,language,mean_average_precision,model_fullname,dataset_type,model_arch
0,0.6529379461834157,,0.6527886341265705,renderedsst2,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,specialized,ViT-bigG-14
1,0.7521562425290105,0.9608106368501388,0.7512820500659019,sun397,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
3,0.5175536361103371,0.9651713569239344,0.5055924943171644,fer2013,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
4,0.2004666666666666,0.8774666666666666,0.1682377119040829,vtab/clevr_closest_object_distance,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,structured,ViT-bigG-14
5,0.7174074074074074,0.9561111111111112,0.7202760268647987,vtab/eurosat,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,specialized,ViT-H-14
6,0.5844813935075218,0.820744259699129,0.5442606899522975,gtsrb,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
7,0.8076255341880342,0.9587339743589745,0.8568078999334334,voc2007,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
8,0.8468,0.9733,0.8471000000000001,vtab/cifar100,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
10,0.77972,0.95216,0.77952,imagenet1k,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
11,0.9438539111474517,0.9986372308530936,0.9434557685576204,vtab/pets,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,natural,ViT-H-14
12,0.8162302813465604,0.9443812001951536,0.8159916147682488,vtab/flowers,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
13,0.863740959894806,0.9743589743589745,0.9527500567100374,vtab/caltech101,ViT-G/14,bigG_14_v2_sd.pt,zeroshot_classification,en,,ViT-G/14,natural,ViT-bigG-14
14,0.6408566721581549,,0.6410094956864107,renderedsst2,ViT-H/14,h_256.pt,zeroshot_classification,,,ViT-H/14,specialized,ViT-H-14
